,AUC (image),AUC (pixel),AUPRO
bottle,1.0,0.8196686980740711,0.5789678121008102
cable,0.8113300492610837,0.6815640482515425,0.5411603128319207
capsule,0.9043940125543216,0.7565089031754944,0.3959659320837366
carpet,0.9987961476725522,0.8631510030021856,0.7444784610960823
grid,0.9774436090225562,0.8059721407953376,0.6471614166200539
hazelnut,0.9378571428571428,0.9054232260060744,0.6798225094383443
leather,0.9996603260869565,0.736107553761137,0.6941489967774439
metal_nut,0.9310850439882697,0.5472412138263166,0.31944151953939276
pill,0.8838612368024132,0.5682047843014193,0.2632129770855635
screw,0.7320261437908497,0.5961536392343335,0.2589298296206948
tile,0.9801587301587302,0.7617238132292895,0.5832278894392394
toothbrush,0.9,0.8558200185051638,0.462196582825011
transistor,0.9212499999999999,0.8190914354129719,0.516530887820216
wood,1.0,0.5759937564989326,0.5020543049138946
zipper,0.9833984375,0.8193944681710184,0.6058056172656181
average,0.9307507253129919,0.7408012468163524,0.5195403366305349
