,AUC (image),F1 (image),AUC (pixel),F1 (pixel),AUPRO
bottle,1.0,0.9762830122332647,0.8164413214076488,0.9221791898883184,0.6187126420601682
cable,0.8142857142857144,0.6958148854961831,0.666166352415537,0.954283297455886,0.44654006576993205
capsule,0.8131337518107195,0.6035305030207513,0.6941040386910391,0.97712862539125,0.30945336001866697
grid,0.899749373433584,0.7937824551685937,0.7672580851299294,0.9701282269329016,0.5543187750486017
metal_nut,0.9701857282502444,0.9109068322981365,0.8120834683838956,0.8490079314603216,0.4406194997889828
pill,0.8616138763197587,0.5786255005005004,0.8536725946020286,0.9511715289713129,0.3110429944079707
screw,0.6143790849673202,0.25493294945715517,0.5141977255499213,0.9904486046571922,0.17333337486316283
tile,0.9725829725829728,0.9316239316239315,0.717407172615057,0.9054633904882131,0.462093211787629
toothbrush,0.875,0.7261904761904759,0.7818102741569583,0.970997280416167,0.2883405223590501
transistor,0.8966666666666668,0.7990752416981927,0.7750818231200953,0.9318772181773612,0.42247972891548075
zipper,0.9814453125,0.9526105753242434,0.7294377790673762,0.9576925630208719,0.44661111978195134
average,0.8817311346197255,0.7475796693646753,0.7388782395581351,0.9436707142599815,0.4066859358910542
