,AUC (image level),F1 (image level),AUPRO (image level)
bottle,0.9753968253968254,0.8924548927416985,0.5294974738731328
cable,0.8305418719211822,0.719709217773377,0.4339422806753975
capsule,0.7310478029937229,0.18121936274509806,0.1709683353446758
grid,0.8571428571428571,0.8184271868482395,0.4545411722755479
metal_nut,0.8983382209188662,0.7277988970976829,0.39432166424774145
pill,0.8318250377073907,0.5591517857142858,0.3071320066115276
screw,0.604108309990663,0.228125,0.16837200754894846
tile,0.9458874458874459,0.8859408067216273,0.42346648050944874
toothbrush,0.9527777777777778,0.7731092436974789,0.32894495906921484
transistor,0.9216666666666667,0.8361111111111109,0.43044232376441044
zipper,0.9850260416666666,0.9540050062578223,0.4429696227669278
average,0.8667053507336422,0.6887320464280383,0.37132712060790674
